Prix,Ville,Marque,Modèle,Année-Modèle,Kilométrage,Carburant,Puissance fiscale,Boite à vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance
95000,Meknès,Volkswagen,GOLF 5,2008,224999.5,Diesel,8,Automatique,5,Dédouanée,1,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
122000,Mohammedia,Volkswagen,PASSAT CC,2009,274999.5,Diesel,8,Manuelle,5,WW au Maroc,0,Bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
93000,Marrakech,Renault,Clio,2016,184999.5,Diesel,5,Manuelle,5,WW au Maroc,0,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
155000,Tanger,Dacia,Dokker,2020,52499.5,Diesel,6,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
130000,Safi,Peugeot,Partner,2016,82499.5,Diesel,6,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
165000,Kénitra,Peugeot,2008,2019,37499.5,Diesel,6,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
98000,Casablanca,Fiat,TIPO,2019,72499.5,Diesel,5,Manuelle,5,WW au Maroc,0,Excellent,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
160000,Settat,Hyundai,i 40,2014,134999.5,Diesel,7,Automatique,5,Importée neuve,1,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188000,Rabat,Renault,Megane 4,2017,114999.5,Diesel,6,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
160000,Agadir,Volkswagen,Jetta,2016,104999.5,Diesel,6,Automatique,5,Importée neuve,0,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
92000,Rabat,Ford,Fiesta,2013,114999.5,Diesel,6,Manuelle,5,WW au Maroc,0,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
95000,Rabat,Renault,Kangoo,2014,184999.5,Diesel,6,Manuelle,5,WW au Maroc,1,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
